stationid,dt_placeme,WC_L_1km,W_area_1km,DEM_1000,Aspect_1000,Slope_1000,Coast_dist_1000,WC_dist_1000,Flow_acc_1000,x,y
388,2020-07-08,1860.959938,468363.881885,6,34.628506,4.172539,41880.308594,574,0.731547,11.790342,44.975883
354,2020-07-08,0,0,75,12.072163,0.958863,32465.90625,1398,0,12.089294,45.7374389
325,2020-07-08,4041.541051,0,3,311.590027,1.52817,26737.898438,157,5.570874,11.828016,45.212872
390,2020-07-08,2721.556977,4327.896698,7,269.231567,2.064843,25355.005859,564,69.24487,11.832971,45.340596
378,2020-07-08,3823.84759,8570.425246,8,300.915222,0.796687,37817.078125,375,1.425218,11.683377,45.207218
198,2020-07-13,7207.80382,604526.916814,5,221.362305,4.301568,24714.152344,203,60211.2,12.79735868934,45.8264089987247
10,2020-07-13,5096.867338,2466.041522,31,88.212029,2.488173,46648.046875,431,0.061692,11.6708414341144,45.5593588296908
373,2020-07-13,2735.966586,118662.510083,7,219.334335,3.684495,15795.103516,382,1.814334,12.461786,45.712302
392,2020-07-13,4061.86574,38393.816264,0,171.079849,1.435196,6427.32373,37,3.974069,12.223217,45.510817
3,2020-07-13,5799.35152,107143.441344,0,159.036743,3.263651,2522.51001,311,4.224569,12.4293676691296,45.5589201764633
382,2020-07-13,9171.213029,10008.308274,8,236.141006,2.204349,21181.453125,102,1.32086,11.958691,45.445442
346,2020-07-13,5855.505804,0,3,134.614334,2.340723,13540.647461,230,3.023932,12.084125,45.464148
199,2020-07-13,4721.254625,290379.143468,0,23.073887,4.410034,9295.942383,54,371.7529,12.8596872754747,45.6903223491131
307,2020-07-13,3482.448041,30409.042075,0,173.070251,5.265698,14807.973633,6,1207867,12.658373,45.674905
314,2020-07-13,1245.851777,68348.777425,5,215.254852,2.136426,12063.803711,881,54.74589,12.260767,45.594461
340,2020-07-13,3298.557237,0,19,118.784462,3.274926,37477.90625,410,0,11.73371,45.474447
397,2020-07-13,,,,,,,,,11.897642,45.351147
397,2020-07-13,,,,,,,,,11.897642,45.351147
384,2020-07-13,4345.118169,43413.646995,0,201.23056,3.347325,3912.984863,375,92.65839,12.637082,45.544211
376,2020-07-13,0,0,143,158.501587,2.259532,68591.078125,3118,0,11.459718,45.701843
1,2020-07-13,6209.745276,188580.173358,2,181.852737,3.170475,755.33844,181,0.768354,12.8770891263046,45.6062923412472
341,2020-07-13,5150.886561,24.304864,23,328.341431,2.813714,31882.681641,442,3.091925,11.906861,45.5911139
1,2020-07-13,6209.745276,188580.173358,2,181.852737,3.170475,755.33844,181,0.768354,12.8770891263046,45.6062923412472
377,2020-07-13,2155.013547,36008.551736,38,272.416962,2.455253,56752.660156,479,0.266719,11.517407,45.557696
399,2020-07-15,,,,,,,,,10.8808,45.4572
339,2020-07-15,3441.619286,59568.405009,70,125.790169,3.634502,63959.035156,625,0.044123,11.378061,45.491496
399,2020-07-15,,,,,,,,,10.8808,45.4572
319,2020-07-15,2872.162671,960.279743,4,156.554214,2.289426,57461.378906,450,10.79712,11.610336,44.916966
379,2020-07-15,2023.881039,0,26,280.807129,2.238147,80057.734375,22,2.561702,11.130067,45.292435
361,2020-07-15,3209.643815,20159.187074,17,142.115463,3.309368,21010.226563,290,205.2961,12.255492,45.700641
320,2020-07-15,3912.304712,269312.709957,22,95.482025,2.07496,70963.007813,96,2.45006,11.247569,45.337162
381,2020-07-15,0,0,60,133.597183,3.073123,106738.109375,1919,15.33556,10.791083,45.332144
321,2020-07-15,1844.303335,0,24,191.630127,4.18727,90552.265625,237,0.260401,11.000028,45.234662
162,2020-07-15,5718.854165,2136.132615,4,168.691177,2.663031,65291.121094,95,1.837928,11.4550278123559,44.9639144422975
350,2020-07-15,2970.375999,0,4,137.150558,2.537391,47087.796875,568,0.548724,11.640704,45.063327
320,2020-07-15,3912.304712,269312.709957,22,95.482025,2.07496,70963.007813,96,2.45006,11.247569,45.337162
195,2020-07-15,0,0,36,145.509659,1.649637,102690.539063,3076,0.000641,10.8428362964231,45.2664499298647
227,2020-07-15,1112.925368,68.940133,8,16.267389,5.264714,68466.375,794,3.156074,11.37895,45.005233
349,2020-07-15,484.993347,0,6,152.718231,1.164449,55921.316406,942,1.411671,11.50945,45.073324
396,2020-07-20,2497.253512,383480.417364,1,25.846041,3.072671,17573.574219,640,0,12.079125,45.054087
396,2020-07-20,,,,,,,,,12.079125,45.054087
383,2020-07-20,6316.252111,636884.337952,0,98.02256,5.487367,936.028137,186,3.995811,12.450199,44.902272
9,2020-07-20,0,127058.539582,0,314.995392,1.989008,22576.125,1091,5.638543,12.0495864728656,44.9861460360422
375,2020-07-20,8503.753513,79.748541,14,180,1.883039,47089.761719,3,2.387271,11.549733,45.288584
342,2020-07-20,1210.147803,4164.227373,9,248.993652,1.583111,53828.339844,758,0.313862,11.483487,45.179494
393,2020-07-20,8761.53703,0,17,240.272278,3.107168,44631.269531,1,0.69351,11.595169,45.387761
380,2020-07-20,0,0,9,213.369843,2.845187,65106.515625,2377,0,11.348957,45.142783
337,2020-07-20,4443.361512,1063.857194,18,42.442852,1.249051,63480.070313,401,0.377902,11.34443,45.243415
165,2020-07-20,1674.175598,0,13,146.985458,1.562037,75366.570313,454,0,11.2102490766052,45.1571350876077
385,2020-07-20,4207.672511,133593.054252,2,82.399681,3.813722,11100.608398,179,1.45028,12.1235222830845,45.1390138449375
178,2020-07-20,3870.158107,2242.883209,24,238.96109,2.277143,32882.167969,285,1.050673,12.4243495047059,45.864106903809
386,2020-07-20,1703.292855,31147.152764,6,239.215118,6.42121,23904.560547,348,16.15027,12.587252,45.781058
369,2020-07-20,4900.640255,381187.116013,1,116.791687,1.888935,1402.256104,238,25.19573,12.283716,45.198981
369,2020-07-20,4900.640255,381187.116013,1,116.791687,1.888935,1402.256104,238,25.19573,12.283716,45.198981
235,2020-07-20,1181.430477,176483.530568,0,237.482117,1.834336,4671.538086,545,54.4586,12.264539,45.04901
391,2020-07-22,3558.765548,24164.731956,6,76.922043,1.927123,13547.563477,447,0,11.980783,45.320831
378,2020-07-22,3823.84759,8570.425246,8,300.915222,0.796687,37817.078125,375,1.425218,11.683377,45.207218
389,2020-07-22,2183.60509,146414.639767,3,82.187408,3.562778,15109.530273,720,0.648811,12.985235,45.771308
391,2020-07-22,3558.765548,24164.731956,6,76.922043,1.927123,13547.563477,447,0,11.980783,45.320831
390,2020-07-22,2721.556977,4327.896698,7,269.231567,2.064843,25355.005859,564,69.24487,11.832971,45.340596
387,2020-07-22,6064.088482,77856.316739,5,287.063873,1.883055,37827.636719,83,0.330879,11.771234,45.070988
387,2020-07-22,6064.088482,77856.316739,5,287.063873,1.883055,37827.636719,83,0.330879,11.771234,45.070988
374,2020-07-22,60.473824,0,108,118.486816,4.767823,57722.519531,948,20.6565,11.649377,45.743659
388,2020-07-22,1860.959938,468363.881885,6,34.628506,4.172539,41880.308594,574,0.731547,11.790342,44.975883
374,2020-07-22,60.473824,0,108,118.486816,4.767823,57722.519531,948,20.6565,11.649377,45.743659
354,2020-07-22,0,0,75,12.072163,0.958863,32465.90625,1398,0,12.089294,45.7374389
6,2020-07-22,7630.147955,1137050.989601,0,135.719101,0.477405,5309.681641,164,35.21419,12.1390379965439,45.3612494916435
355,2020-07-22,3074.274964,12783.560369,50,95.661057,3.337992,29555.904297,630,1.040392,12.299455,45.7975417
347,2020-07-22,2786.85795,146112.785733,3,243.919586,2.435574,6615.342773,555,0,12.975591,45.6944639
325,2020-07-22,4041.541051,0,3,311.590027,1.52817,26737.898438,157,5.570874,11.828016,45.212872
353,2020-07-22,4130.099527,0,60,288.824768,4.295628,40489.828125,134,11.54489,11.910472,45.7251389
382,2020-07-27,9171.213029,10008.308274,8,236.141006,2.204349,21181.453125,102,1.32086,11.958691,45.445442
392,2020-07-27,4061.86574,38393.816264,0,171.079849,1.435196,6427.32373,37,3.974069,12.223217,45.510817
346,2020-07-27,5855.505804,0,3,134.614334,2.340723,13540.647461,230,3.023932,12.084125,45.464148
198,2020-07-27,7207.80382,604526.916814,5,221.362305,4.301568,24714.152344,203,60211.2,12.79735868934,45.8264089987247
376,2020-07-27,0,0,143,158.501587,2.259532,68591.078125,3118,0,11.459718,45.701843
341,2020-07-27,5150.886561,24.304864,23,328.341431,2.813714,31882.681641,442,3.091925,11.906861,45.5911139
199,2020-07-27,4721.254625,290379.143468,0,23.073887,4.410034,9295.942383,54,371.7529,12.8596872754747,45.6903223491131
377,2020-07-27,2155.013547,36008.551736,38,272.416962,2.455253,56752.660156,479,0.266719,11.517407,45.557696
3,2020-07-27,5799.35152,107143.441344,0,159.036743,3.263651,2522.51001,311,4.224569,12.4293676691296,45.5589201764633
340,2020-07-27,3298.557237,0,19,118.784462,3.274926,37477.90625,410,0,11.73371,45.474447
10,2020-07-27,5096.867338,2466.041522,31,88.212029,2.488173,46648.046875,431,0.061692,11.6708414341144,45.5593588296908
397,2020-07-27,,,,,,,,,11.897642,45.351147
373,2020-07-27,2735.966586,118662.510083,7,219.334335,3.684495,15795.103516,382,1.814334,12.461786,45.712302
307,2020-07-27,3482.448041,30409.042075,0,173.070251,5.265698,14807.973633,6,1207867,12.658373,45.674905
1,2020-07-27,6209.745276,188580.173358,2,181.852737,3.170475,755.33844,181,0.768354,12.8770891263046,45.6062923412472
314,2020-07-27,1245.851777,68348.777425,5,215.254852,2.136426,12063.803711,881,54.74589,12.260767,45.594461
384,2020-07-27,4345.118169,43413.646995,0,201.23056,3.347325,3912.984863,375,92.65839,12.637082,45.544211
1,2020-07-27,6209.745276,188580.173358,2,181.852737,3.170475,755.33844,181,0.768354,12.8770891263046,45.6062923412472
397,2020-07-27,,,,,,,,,11.897642,45.351147
320,2020-07-29,3912.304712,269312.709957,22,95.482025,2.07496,70963.007813,96,2.45006,11.247569,45.337162
349,2020-07-29,484.993347,0,6,152.718231,1.164449,55921.316406,942,1.411671,11.50945,45.073324
162,2020-07-29,5718.854165,2136.132615,4,168.691177,2.663031,65291.121094,95,1.837928,11.4550278123559,44.9639144422975
381,2020-07-29,0,0,60,133.597183,3.073123,106738.109375,1919,15.33556,10.791083,45.332144
227,2020-07-29,1112.925368,68.940133,8,16.267389,5.264714,68466.375,794,3.156074,11.37895,45.005233
320,2020-07-29,3912.304712,269312.709957,22,95.482025,2.07496,70963.007813,96,2.45006,11.247569,45.337162
379,2020-07-29,2023.881039,0,26,280.807129,2.238147,80057.734375,22,2.561702,11.130067,45.292435
339,2020-07-29,3441.619286,59568.405009,70,125.790169,3.634502,63959.035156,625,0.044123,11.378061,45.491496
321,2020-07-29,1844.303335,0,24,191.630127,4.18727,90552.265625,237,0.260401,11.000028,45.234662
195,2020-07-29,0,0,36,145.509659,1.649637,102690.539063,3076,0.000641,10.8428362964231,45.2664499298647
319,2020-07-29,2872.162671,960.279743,4,156.554214,2.289426,57461.378906,450,10.79712,11.610336,44.916966
399,2020-07-29,,,,,,,,,10.8808,45.4572
399,2020-07-29,,,,,,,,,10.8808,45.4572
350,2020-07-29,2970.375999,0,4,137.150558,2.537391,47087.796875,568,0.548724,11.640704,45.063327
361,2020-07-29,3209.643815,20159.187074,17,142.115463,3.309368,21010.226563,290,205.2961,12.255492,45.700641
375,2020-08-03,8503.753513,79.748541,14,180,1.883039,47089.761719,3,2.387271,11.549733,45.288584
369,2020-08-03,4900.640255,381187.116013,1,116.791687,1.888935,1402.256104,238,25.19573,12.283716,45.198981
235,2020-08-03,1181.430477,176483.530568,0,237.482117,1.834336,4671.538086,545,54.4586,12.264539,45.04901
369,2020-08-03,4900.640255,381187.116013,1,116.791687,1.888935,1402.256104,238,25.19573,12.283716,45.198981
342,2020-08-03,1210.147803,4164.227373,9,248.993652,1.583111,53828.339844,758,0.313862,11.483487,45.179494
386,2020-08-03,1703.292855,31147.152764,6,239.215118,6.42121,23904.560547,348,16.15027,12.587252,45.781058
337,2020-08-03,4443.361512,1063.857194,18,42.442852,1.249051,63480.070313,401,0.377902,11.34443,45.243415
385,2020-08-03,4207.672511,133593.054252,2,82.399681,3.813722,11100.608398,179,1.45028,12.1235222830845,45.1390138449375
165,2020-08-03,1674.175598,0,13,146.985458,1.562037,75366.570313,454,0,11.2102490766052,45.1571350876077
178,2020-08-03,3870.158107,2242.883209,24,238.96109,2.277143,32882.167969,285,1.050673,12.4243495047059,45.864106903809
393,2020-08-03,8761.53703,0,17,240.272278,3.107168,44631.269531,1,0.69351,11.595169,45.387761
396,2020-08-03,2497.253512,383480.417364,1,25.846041,3.072671,17573.574219,640,0,12.079125,45.054087
396,2020-08-03,,,,,,,,,12.079125,45.054087
9,2020-08-03,0,127058.539582,0,314.995392,1.989008,22576.125,1091,5.638543,12.0495864728656,44.9861460360422
380,2020-08-03,0,0,9,213.369843,2.845187,65106.515625,2377,0,11.348957,45.142783
383,2020-08-03,6316.252111,636884.337952,0,98.02256,5.487367,936.028137,186,3.995811,12.450199,44.902272
389,2020-08-05,2183.60509,146414.639767,3,82.187408,3.562778,15109.530273,720,0.648811,12.985235,45.771308
378,2020-08-05,3823.84759,8570.425246,8,300.915222,0.796687,37817.078125,375,1.425218,11.683377,45.207218
355,2020-08-05,3074.274964,12783.560369,50,95.661057,3.337992,29555.904297,630,1.040392,12.299455,45.7975417
6,2020-08-05,7630.147955,1137050.989601,0,135.719101,0.477405,5309.681641,164,35.21419,12.1390379965439,45.3612494916435
391,2020-08-05,3558.765548,24164.731956,6,76.922043,1.927123,13547.563477,447,0,11.980783,45.320831
390,2020-08-05,2721.556977,4327.896698,7,269.231567,2.064843,25355.005859,564,69.24487,11.832971,45.340596
391,2020-08-05,3558.765548,24164.731956,6,76.922043,1.927123,13547.563477,447,0,11.980783,45.320831
387,2020-08-05,6064.088482,77856.316739,5,287.063873,1.883055,37827.636719,83,0.330879,11.771234,45.070988
388,2020-08-05,1860.959938,468363.881885,6,34.628506,4.172539,41880.308594,574,0.731547,11.790342,44.975883
387,2020-08-05,6064.088482,77856.316739,5,287.063873,1.883055,37827.636719,83,0.330879,11.771234,45.070988
354,2020-08-05,0,0,75,12.072163,0.958863,32465.90625,1398,0,12.089294,45.7374389
374,2020-08-05,60.473824,0,108,118.486816,4.767823,57722.519531,948,20.6565,11.649377,45.743659
374,2020-08-05,60.473824,0,108,118.486816,4.767823,57722.519531,948,20.6565,11.649377,45.743659
325,2020-08-05,4041.541051,0,3,311.590027,1.52817,26737.898438,157,5.570874,11.828016,45.212872
347,2020-08-05,2786.85795,146112.785733,3,243.919586,2.435574,6615.342773,555,0,12.975591,45.6944639
353,2020-08-05,4130.099527,0,60,288.824768,4.295628,40489.828125,134,11.54489,11.910472,45.7251389
397,2020-08-10,,,,,,,,,11.897642,45.351147
1,2020-08-10,6209.745276,188580.173358,2,181.852737,3.170475,755.33844,181,0.768354,12.8770891263046,45.6062923412472
307,2020-08-10,3482.448041,30409.042075,0,173.070251,5.265698,14807.973633,6,1207867,12.658373,45.674905
1,2020-08-10,6209.745276,188580.173358,2,181.852737,3.170475,755.33844,181,0.768354,12.8770891263046,45.6062923412472
314,2020-08-10,1245.851777,68348.777425,5,215.254852,2.136426,12063.803711,881,54.74589,12.260767,45.594461
377,2020-08-10,2155.013547,36008.551736,38,272.416962,2.455253,56752.660156,479,0.266719,11.517407,45.557696
384,2020-08-10,4345.118169,43413.646995,0,201.23056,3.347325,3912.984863,375,92.65839,12.637082,45.544211
397,2020-08-10,,,,,,,,,11.897642,45.351147
3,2020-08-10,5799.35152,107143.441344,0,159.036743,3.263651,2522.51001,311,4.224569,12.4293676691296,45.5589201764633
340,2020-08-10,3298.557237,0,19,118.784462,3.274926,37477.90625,410,0,11.73371,45.474447
199,2020-08-10,4721.254625,290379.143468,0,23.073887,4.410034,9295.942383,54,371.7529,12.8596872754747,45.6903223491131
346,2020-08-10,5855.505804,0,3,134.614334,2.340723,13540.647461,230,3.023932,12.084125,45.464148
10,2020-08-10,5096.867338,2466.041522,31,88.212029,2.488173,46648.046875,431,0.061692,11.6708414341144,45.5593588296908
198,2020-08-10,7207.80382,604526.916814,5,221.362305,4.301568,24714.152344,203,60211.2,12.79735868934,45.8264089987247
376,2020-08-10,0,0,143,158.501587,2.259532,68591.078125,3118,0,11.459718,45.701843
382,2020-08-10,9171.213029,10008.308274,8,236.141006,2.204349,21181.453125,102,1.32086,11.958691,45.445442
341,2020-08-10,5150.886561,24.304864,23,328.341431,2.813714,31882.681641,442,3.091925,11.906861,45.5911139
392,2020-08-10,4061.86574,38393.816264,0,171.079849,1.435196,6427.32373,37,3.974069,12.223217,45.510817
373,2020-08-10,2735.966586,118662.510083,7,219.334335,3.684495,15795.103516,382,1.814334,12.461786,45.712302
349,2020-08-12,484.993347,0,6,152.718231,1.164449,55921.316406,942,1.411671,11.50945,45.073324
379,2020-08-12,2023.881039,0,26,280.807129,2.238147,80057.734375,22,2.561702,11.130067,45.292435
319,2020-08-12,2872.162671,960.279743,4,156.554214,2.289426,57461.378906,450,10.79712,11.610336,44.916966
321,2020-08-12,1844.303335,0,24,191.630127,4.18727,90552.265625,237,0.260401,11.000028,45.234662
195,2020-08-12,0,0,36,145.509659,1.649637,102690.539063,3076,0.000641,10.8428362964231,45.2664499298647
399,2020-08-12,,,,,,,,,10.8808,45.4572
381,2020-08-12,0,0,60,133.597183,3.073123,106738.109375,1919,15.33556,10.791083,45.332144
339,2020-08-12,3441.619286,59568.405009,70,125.790169,3.634502,63959.035156,625,0.044123,11.378061,45.491496
227,2020-08-12,1112.925368,68.940133,8,16.267389,5.264714,68466.375,794,3.156074,11.37895,45.005233
399,2020-08-12,,,,,,,,,10.8808,45.4572
350,2020-08-12,2970.375999,0,4,137.150558,2.537391,47087.796875,568,0.548724,11.640704,45.063327
320,2020-08-12,3912.304712,269312.709957,22,95.482025,2.07496,70963.007813,96,2.45006,11.247569,45.337162
320,2020-08-12,3912.304712,269312.709957,22,95.482025,2.07496,70963.007813,96,2.45006,11.247569,45.337162
162,2020-08-12,5718.854165,2136.132615,4,168.691177,2.663031,65291.121094,95,1.837928,11.4550278123559,44.9639144422975
361,2020-08-13,3209.643815,20159.187074,17,142.115463,3.309368,21010.226563,290,205.2961,12.255492,45.700641
383,2020-08-17,6316.252111,636884.337952,0,98.02256,5.487367,936.028137,186,3.995811,12.450199,44.902272
380,2020-08-17,0,0,9,213.369843,2.845187,65106.515625,2377,0,11.348957,45.142783
9,2020-08-17,0,127058.539582,0,314.995392,1.989008,22576.125,1091,5.638543,12.0495864728656,44.9861460360422
178,2020-08-17,3870.158107,2242.883209,24,238.96109,2.277143,32882.167969,285,1.050673,12.4243495047059,45.864106903809
396,2020-08-17,2497.253512,383480.417364,1,25.846041,3.072671,17573.574219,640,0,12.079125,45.054087
396,2020-08-17,,,,,,,,,12.079125,45.054087
235,2020-08-17,1181.430477,176483.530568,0,237.482117,1.834336,4671.538086,545,54.4586,12.264539,45.04901
386,2020-08-17,1703.292855,31147.152764,6,239.215118,6.42121,23904.560547,348,16.15027,12.587252,45.781058
369,2020-08-17,4900.640255,381187.116013,1,116.791687,1.888935,1402.256104,238,25.19573,12.283716,45.198981
165,2020-08-17,1674.175598,0,13,146.985458,1.562037,75366.570313,454,0,11.2102490766052,45.1571350876077
337,2020-08-17,4443.361512,1063.857194,18,42.442852,1.249051,63480.070313,401,0.377902,11.34443,45.243415
375,2020-08-17,8503.753513,79.748541,14,180,1.883039,47089.761719,3,2.387271,11.549733,45.288584
369,2020-08-17,4900.640255,381187.116013,1,116.791687,1.888935,1402.256104,238,25.19573,12.283716,45.198981
342,2020-08-17,1210.147803,4164.227373,9,248.993652,1.583111,53828.339844,758,0.313862,11.483487,45.179494
385,2020-08-17,4207.672511,133593.054252,2,82.399681,3.813722,11100.608398,179,1.45028,12.1235222830845,45.1390138449375
6,2020-08-19,7630.147955,1137050.989601,0,135.719101,0.477405,5309.681641,164,35.21419,12.1390379965439,45.3612494916435
390,2020-08-19,2721.556977,4327.896698,7,269.231567,2.064843,25355.005859,564,69.24487,11.832971,45.340596
387,2020-08-19,6064.088482,77856.316739,5,287.063873,1.883055,37827.636719,83,0.330879,11.771234,45.070988
391,2020-08-19,3558.765548,24164.731956,6,76.922043,1.927123,13547.563477,447,0,11.980783,45.320831
391,2020-08-19,3558.765548,24164.731956,6,76.922043,1.927123,13547.563477,447,0,11.980783,45.320831
389,2020-08-19,2183.60509,146414.639767,3,82.187408,3.562778,15109.530273,720,0.648811,12.985235,45.771308
388,2020-08-19,1860.959938,468363.881885,6,34.628506,4.172539,41880.308594,574,0.731547,11.790342,44.975883
387,2020-08-19,6064.088482,77856.316739,5,287.063873,1.883055,37827.636719,83,0.330879,11.771234,45.070988
355,2020-08-19,3074.274964,12783.560369,50,95.661057,3.337992,29555.904297,630,1.040392,12.299455,45.7975417
347,2020-08-19,2786.85795,146112.785733,3,243.919586,2.435574,6615.342773,555,0,12.975591,45.6944639
354,2020-08-19,0,0,75,12.072163,0.958863,32465.90625,1398,0,12.089294,45.7374389
378,2020-08-19,3823.84759,8570.425246,8,300.915222,0.796687,37817.078125,375,1.425218,11.683377,45.207218
353,2020-08-19,4130.099527,0,60,288.824768,4.295628,40489.828125,134,11.54489,11.910472,45.7251389
325,2020-08-19,4041.541051,0,3,311.590027,1.52817,26737.898438,157,5.570874,11.828016,45.212872
374,2020-08-19,60.473824,0,108,118.486816,4.767823,57722.519531,948,20.6565,11.649377,45.743659
3,2020-08-24,5799.35152,107143.441344,0,159.036743,3.263651,2522.51001,311,4.224569,12.4293676691296,45.5589201764633
10,2020-08-24,5096.867338,2466.041522,31,88.212029,2.488173,46648.046875,431,0.061692,11.6708414341144,45.5593588296908
392,2020-08-24,4061.86574,38393.816264,0,171.079849,1.435196,6427.32373,37,3.974069,12.223217,45.510817
1,2020-08-24,6209.745276,188580.173358,2,181.852737,3.170475,755.33844,181,0.768354,12.8770891263046,45.6062923412472
314,2020-08-24,1245.851777,68348.777425,5,215.254852,2.136426,12063.803711,881,54.74589,12.260767,45.594461
1,2020-08-24,6209.745276,188580.173358,2,181.852737,3.170475,755.33844,181,0.768354,12.8770891263046,45.6062923412472
373,2020-08-24,2735.966586,118662.510083,7,219.334335,3.684495,15795.103516,382,1.814334,12.461786,45.712302
397,2020-08-24,,,,,,,,,11.897642,45.351147
307,2020-08-24,3482.448041,30409.042075,0,173.070251,5.265698,14807.973633,6,1207867,12.658373,45.674905
341,2020-08-24,5150.886561,24.304864,23,328.341431,2.813714,31882.681641,442,3.091925,11.906861,45.5911139
376,2020-08-24,0,0,143,158.501587,2.259532,68591.078125,3118,0,11.459718,45.701843
198,2020-08-24,7207.80382,604526.916814,5,221.362305,4.301568,24714.152344,203,60211.2,12.79735868934,45.8264089987247
377,2020-08-24,2155.013547,36008.551736,38,272.416962,2.455253,56752.660156,479,0.266719,11.517407,45.557696
340,2020-08-24,3298.557237,0,19,118.784462,3.274926,37477.90625,410,0,11.73371,45.474447
397,2020-08-24,,,,,,,,,11.897642,45.351147
384,2020-08-24,4345.118169,43413.646995,0,201.23056,3.347325,3912.984863,375,92.65839,12.637082,45.544211
199,2020-08-24,4721.254625,290379.143468,0,23.073887,4.410034,9295.942383,54,371.7529,12.8596872754747,45.6903223491131
346,2020-08-24,5855.505804,0,3,134.614334,2.340723,13540.647461,230,3.023932,12.084125,45.464148
382,2020-08-24,9171.213029,10008.308274,8,236.141006,2.204349,21181.453125,102,1.32086,11.958691,45.445442
195,2020-08-26,0,0,36,145.509659,1.649637,102690.539063,3076,0.000641,10.8428362964231,45.2664499298647
339,2020-08-26,3441.619286,59568.405009,70,125.790169,3.634502,63959.035156,625,0.044123,11.378061,45.491496
227,2020-08-26,1112.925368,68.940133,8,16.267389,5.264714,68466.375,794,3.156074,11.37895,45.005233
320,2020-08-26,3912.304712,269312.709957,22,95.482025,2.07496,70963.007813,96,2.45006,11.247569,45.337162
381,2020-08-26,0,0,60,133.597183,3.073123,106738.109375,1919,15.33556,10.791083,45.332144
399,2020-08-26,,,,,,,,,10.8808,45.4572
321,2020-08-26,1844.303335,0,24,191.630127,4.18727,90552.265625,237,0.260401,11.000028,45.234662
399,2020-08-26,,,,,,,,,10.8808,45.4572
162,2020-08-26,5718.854165,2136.132615,4,168.691177,2.663031,65291.121094,95,1.837928,11.4550278123559,44.9639144422975
350,2020-08-26,2970.375999,0,4,137.150558,2.537391,47087.796875,568,0.548724,11.640704,45.063327
320,2020-08-26,3912.304712,269312.709957,22,95.482025,2.07496,70963.007813,96,2.45006,11.247569,45.337162
319,2020-08-26,2872.162671,960.279743,4,156.554214,2.289426,57461.378906,450,10.79712,11.610336,44.916966
361,2020-08-26,3209.643815,20159.187074,17,142.115463,3.309368,21010.226563,290,205.2961,12.255492,45.700641
379,2020-08-26,2023.881039,0,26,280.807129,2.238147,80057.734375,22,2.561702,11.130067,45.292435
349,2020-08-26,484.993347,0,6,152.718231,1.164449,55921.316406,942,1.411671,11.50945,45.073324
369,2020-08-31,4900.640255,381187.116013,1,116.791687,1.888935,1402.256104,238,25.19573,12.283716,45.198981
369,2020-08-31,4900.640255,381187.116013,1,116.791687,1.888935,1402.256104,238,25.19573,12.283716,45.198981
393,2020-08-31,8761.53703,0,17,240.272278,3.107168,44631.269531,1,0.69351,11.595169,45.387761
396,2020-08-31,2497.253512,383480.417364,1,25.846041,3.072671,17573.574219,640,0,12.079125,45.054087
396,2020-08-31,,,,,,,,,12.079125,45.054087
380,2020-08-31,0,0,9,213.369843,2.845187,65106.515625,2377,0,11.348957,45.142783
165,2020-08-31,1674.175598,0,13,146.985458,1.562037,75366.570313,454,0,11.2102490766052,45.1571350876077
383,2020-08-31,6316.252111,636884.337952,0,98.02256,5.487367,936.028137,186,3.995811,12.450199,44.902272
235,2020-08-31,1181.430477,176483.530568,0,237.482117,1.834336,4671.538086,545,54.4586,12.264539,45.04901
385,2020-08-31,4207.672511,133593.054252,2,82.399681,3.813722,11100.608398,179,1.45028,12.1235222830845,45.1390138449375
178,2020-08-31,3870.158107,2242.883209,24,238.96109,2.277143,32882.167969,285,1.050673,12.4243495047059,45.864106903809
342,2020-08-31,1210.147803,4164.227373,9,248.993652,1.583111,53828.339844,758,0.313862,11.483487,45.179494
375,2020-08-31,8503.753513,79.748541,14,180,1.883039,47089.761719,3,2.387271,11.549733,45.288584
9,2020-08-31,0,127058.539582,0,314.995392,1.989008,22576.125,1091,5.638543,12.0495864728656,44.9861460360422
386,2020-08-31,1703.292855,31147.152764,6,239.215118,6.42121,23904.560547,348,16.15027,12.587252,45.781058
337,2020-08-31,4443.361512,1063.857194,18,42.442852,1.249051,63480.070313,401,0.377902,11.34443,45.243415
389,2020-09-02,2183.60509,146414.639767,3,82.187408,3.562778,15109.530273,720,0.648811,12.985235,45.771308
6,2020-09-02,7630.147955,1137050.989601,0,135.719101,0.477405,5309.681641,164,35.21419,12.1390379965439,45.3612494916435
347,2020-09-02,2786.85795,146112.785733,3,243.919586,2.435574,6615.342773,555,0,12.975591,45.6944639
374,2020-09-02,60.473824,0,108,118.486816,4.767823,57722.519531,948,20.6565,11.649377,45.743659
374,2020-09-02,60.473824,0,108,118.486816,4.767823,57722.519531,948,20.6565,11.649377,45.743659
390,2020-09-02,2721.556977,4327.896698,7,269.231567,2.064843,25355.005859,564,69.24487,11.832971,45.340596
388,2020-09-02,1860.959938,468363.881885,6,34.628506,4.172539,41880.308594,574,0.731547,11.790342,44.975883
391,2020-09-02,3558.765548,24164.731956,6,76.922043,1.927123,13547.563477,447,0,11.980783,45.320831
387,2020-09-02,6064.088482,77856.316739,5,287.063873,1.883055,37827.636719,83,0.330879,11.771234,45.070988
387,2020-09-02,6064.088482,77856.316739,5,287.063873,1.883055,37827.636719,83,0.330879,11.771234,45.070988
353,2020-09-02,4130.099527,0,60,288.824768,4.295628,40489.828125,134,11.54489,11.910472,45.7251389
